SEND_SQL,SEND_DATABASE,RECEIVE_DATABASE,DEST,TRANS_STATUS,SEND_DATE_UTC,SEND_DATE_LOC,SEND_UTC_OFFSET,SEND_DATA_ROW,SEND_RECORD,SEND_VOLUME,SIZE_IN_MB,SEND_IDRS_NODE,REC_IDRS_NODE,SEND_PRODUCT,REC_PRODUCT,SEND_BU,REC_BU,SEND_COUNTRY,REC_COUNTRY,RECEIVE_DATE_UTC,RECEIVE_DATE_LOC,REC_UTC_OFFSET,BATCH_NAME,BATCH_DATE
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/29/2019 19:56,10/29/2019 19:56,+00:00,1628916,1628939,999677001,953.37,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/29/2019 19:58,10/29/2019 19:58,+00:00,ITSCPIX2,10/29/2019 19:56
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/30/2019 19:57,10/30/2019 19:57,+00:00,1602033,1602056,999742318,953.43,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/30/2019 20:03,10/30/2019 20:03,+00:00,ITSCPIX2,10/30/2019 19:57
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/31/2019 19:55,10/31/2019 19:55,+00:00,1488905,1488928,999029734,952.75,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/31/2019 19:59,10/31/2019 19:59,+00:00,ITSCPIX2,10/31/2019 19:55
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/1/2019 19:56,11/1/2019 19:56,+00:00,960403,960426,999259448,952.97,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/1/2019 19:59,11/1/2019 19:59,+00:00,ITSCPIX2,11/1/2019 19:56
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/2/2019 19:53,11/2/2019 19:53,+00:00,654204,654227,801843024,764.7,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/2/2019 19:56,11/2/2019 19:56,+00:00,ITSCPIX2,11/2/2019 19:53
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/3/2019 19:53,11/3/2019 19:53,+00:00,472666,472689,579464037,552.62,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/3/2019 19:57,11/3/2019 19:57,+00:00,ITSCPIX2,11/3/2019 19:53
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/4/2019 19:59,11/4/2019 19:59,+00:00,1738100,1738123,999457240,953.16,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/4/2019 20:02,11/4/2019 20:02,+00:00,ITSCPIX2,11/4/2019 19:59
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/5/2019 19:58,11/5/2019 19:58,+00:00,1673929,1673952,999885059,953.56,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/5/2019 20:03,11/5/2019 20:03,+00:00,ITSCPIX2,11/5/2019 19:58
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/6/2019 20:00,11/6/2019 20:00,+00:00,1593657,1593680,999396294,953.1,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/6/2019 20:04,11/6/2019 20:04,+00:00,ITSCPIX2,11/6/2019 20:00
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/7/2019 19:57,11/7/2019 19:57,+00:00,1520797,1520820,999078522,952.8,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/7/2019 20:01,11/7/2019 20:01,+00:00,ITSCPIX2,11/7/2019 19:57
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/8/2019 19:59,11/8/2019 19:59,+00:00,1589700,1589723,999536120,953.23,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/8/2019 20:01,11/8/2019 20:01,+00:00,ITSCPIX2,11/8/2019 19:59
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/9/2019 19:56,11/9/2019 19:56,+00:00,803509,803532,984824930,939.2,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/9/2019 19:57,11/9/2019 19:57,+00:00,ITSCPIX2,11/9/2019 19:56
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/10/2019 19:53,11/10/2019 19:53,+00:00,475002,475025,582327618,555.35,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/10/2019 19:58,11/10/2019 19:58,+00:00,ITSCPIX2,11/10/2019 19:53
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/11/2019 19:56,11/11/2019 19:56,+00:00,1477351,1477374,999744530,953.43,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/11/2019 19:58,11/11/2019 19:58,+00:00,ITSCPIX2,11/11/2019 19:56
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/12/2019 20:34,11/12/2019 20:34,+00:00,1717074,1717097,999677017,953.37,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/12/2019 20:39,11/12/2019 20:39,+00:00,ITSCPIX2,11/12/2019 20:34
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/13/2019 20:01,11/13/2019 20:01,+00:00,1630356,1630379,999413182,953.11,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/13/2019 20:05,11/13/2019 20:05,+00:00,ITSCPIX2,11/13/2019 20:01
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/14/2019 20:02,11/14/2019 20:02,+00:00,1567855,1567878,999741302,953.43,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/14/2019 20:06,11/14/2019 20:06,+00:00,ITSCPIX2,11/14/2019 20:02
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/15/2019 19:58,11/15/2019 19:58,+00:00,1513158,1513181,999664746,953.35,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/15/2019 20:02,11/15/2019 20:02,+00:00,ITSCPIX2,11/15/2019 19:58
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/16/2019 19:55,11/16/2019 19:55,+00:00,698196,698219,855731542,816.09,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/16/2019 19:58,11/16/2019 19:58,+00:00,ITSCPIX2,11/16/2019 19:55
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/17/2019 19:53,11/17/2019 19:53,+00:00,529379,529402,648945273,618.88,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/17/2019 19:58,11/17/2019 19:58,+00:00,ITSCPIX2,11/17/2019 19:53
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/18/2019 19:57,11/18/2019 19:57,+00:00,1712000,1712023,999383534,953.09,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/18/2019 20:00,11/18/2019 20:00,+00:00,ITSCPIX2,11/18/2019 19:57
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/19/2019 19:59,11/19/2019 19:59,+00:00,1608103,1608126,999993301,953.67,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/19/2019 20:01,11/19/2019 20:01,+00:00,ITSCPIX2,11/19/2019 19:59
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/20/2019 19:58,11/20/2019 19:58,+00:00,1581930,1581953,999935778,953.61,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/20/2019 20:01,11/20/2019 20:01,+00:00,ITSCPIX2,11/20/2019 19:58
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/21/2019 19:58,11/21/2019 19:58,+00:00,1574298,1574321,999594133,953.29,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/21/2019 20:02,11/21/2019 20:02,+00:00,ITSCPIX2,11/21/2019 19:58
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/22/2019 19:59,11/22/2019 19:59,+00:00,1487663,1487686,999340136,953.05,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/22/2019 20:03,11/22/2019 20:03,+00:00,ITSCPIX2,11/22/2019 19:59
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/23/2019 19:56,11/23/2019 19:56,+00:00,786764,786787,964265491,919.6,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/23/2019 19:59,11/23/2019 19:59,+00:00,ITSCPIX2,11/23/2019 19:56
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/24/2019 19:53,11/24/2019 19:53,+00:00,465066,465089,570127141,543.72,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/24/2019 19:55,11/24/2019 19:55,+00:00,ITSCPIX2,11/24/2019 19:53
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/25/2019 19:57,11/25/2019 19:57,+00:00,1672891,1672914,999467868,953.17,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/25/2019 20:01,11/25/2019 20:01,+00:00,ITSCPIX2,11/25/2019 19:57
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,11/26/2019 19:59,11/26/2019 19:59,+00:00,1598695,1598718,999576355,953.27,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,11/26/2019 20:02,11/26/2019 20:02,+00:00,ITSCPIX2,11/26/2019 19:59
